date,fixtureType,cargoSize,voyageType,shipName,buildYear,dwt,freeText,loadPort,dischargePort,rateAndTerms,charterer,comment,fixtureString,freight,VESSEL TYPE
2025-12-23,VOYAGE: ORE,170000/10,ore,TBN,1700,180000.0,5 Jan onwards,Dampier,Qingdao,$9.55 fio 90000shinc/30000shinc,Rio Tinto,22/12 fixture,'TBN ' 170000/10 Dampier/Qingdao 5 Jan onwards $9.55 fio 90000shinc/30000shinc - Rio Tinto - <22/12 fixture>,9.55,CAPE/VLOC
2025-12-23,VOYAGE: ORE,170000/10,ore,TBN,1700,180000.0,11/13 Jan,Dampier,Qingdao,$8.55 fio 90000shinc/30000shinc,Rio Tinto,,'TBN ' 170000/10 Dampier/Qingdao 11/13 Jan $8.55 fio 90000shinc/30000shinc - Rio Tinto,8.55,CAPE/VLOC
2025-12-23,VOYAGE: ORE,170000/10,ore,Great Perseus,2010,176912.0,15/21 Jan,Tubarao,Qingdao,$23.50 fio 3days shinc/30000shinc,Mercuria,22/12 fixture,'Great Perseus ' 2010 170000/10 Tubarao/Qingdao 15/21 Jan $23.50 fio 3days shinc/30000shinc - Mercuria - <22/12 fixture>,23.5,CAPE/VLOC
2026-01-02,VOYAGE: ORE,170000/10,ore,TBN,1700,180000.0,18/20 Jan,Dampier,Qingdao,$8.30 fio 90000shinc/30000shinc,Rio Tinto,,'TBN' 170000/10 Dampier/Qingdao 18/20 Jan $8.30 fio 90000shinc/30000shinc - Rio Tinto,8.3,CAPE/VLOC
2026-01-05,VOYAGE: ORE,170000/10,ore,TBN,1700,180000.0,19/21 Jan,Dampier,Qingdao,$8.25 fio 90000shinc/30000shinc,Rio Tinto,,'TBN ' 170000/10 Dampier/Qingdao 19/21 Jan $8.25 fio 90000shinc/30000shinc - Rio Tinto,8.25,CAPE/VLOC
2026-01-06,VOYAGE: ORE,170000/10,ore,TBN,1700,180000.0,20/22 Jan,Dampier,Qingdao,$8.10 fio 90000shinc/30000shinc,,,'TBN' 170000/10 Dampier/Qingdao 20/22 Jan $8.10 fio 90000shinc/30000shinc,8.1,CAPE/VLOC
2026-01-06,VOYAGE: ORE,170000/10,ore,Prometheus,2024,,24/30 Jan,Tubarao,Qingdao,$22.35 fio 3 days shinc/30000shinc,Pan Ocean,,'Prometheus' 2024 170000/10 Tubarao/Qingdao 24/30 Jan $22.35 fio 3 days shinc/30000shinc - Pan Ocean,22.35,
2026-01-06,VOYAGE: ORE,160000/10,ore,TBN,1600,170000.0,19/21 Jan,Port Hedland,Qingdao,$8.30 fio 80000shinc/30000shinc,FMG,5/1 fixture,'TBN ' 160000/10 Port Hedland/Qingdao 19/21 Jan $8.30 fio 80000shinc/30000shinc - FMG - <5/1 fixture>,8.3,CAPE/VLOC
2026-01-07,VOYAGE: ORE,170000/10,ore,TBN,1700,,22/24 Jan,Dampier,Qingdao,$7.99 fio 90000shinc/30000shinc,Rio Tinto,,'TBN' 170000/10 Dampier/Qingdao 22/24 Jan $7.99 fio 90000shinc/30000shinc - Rio Tinto,7.99,
2026-01-07,VOYAGE: ORE,160000/10,ore,TBN,1600,,22/24 Jan,Port Hedland,Qingdao,$8.00 fio 80000shinc/30000shinc,FMG,,'TBN' 160000/10 Port Hedland/Qingdao 22/24 Jan $8.00 fio 80000shinc/30000shinc - FMG,8.0,
2026-01-07,VOYAGE: ORE,180000/10,ore,Oldendorff TBN,1800,,3 Feb,Saldanha Bay,Rotterdam,$7.75 fio 6 days shinc,TKSE,6/1 fixture,'Oldendorff TBN' 180000/10 Saldanha Bay/Rotterdam 25 Jan/3 Feb $7.75 fio 6 days shinc - TKSE - <6/1 fixture>,7.75,
2026-01-08,VOYAGE: ORE,170000/10,ore,TBN,1700,,24/26 Jan,Dampier,Qingdao,$7.80 fio 90000shinc/30000shinc,Rio Tinto,,'TBN' 170000/10 Dampier/Qingdao 24/26 Jan $7.80 fio 90000shinc/30000shinc - Rio Tinto,7.8,
2026-01-08,VOYAGE: ORE,160000/10,ore,TBN,1600,,18/20 Jan,Port Hedland,Qingdao,$8.00 fio 80000shinc/30000shinc,BHP,,'TBN' 160000/10 Port Hedland/Qingdao 18/20 Jan $8.00 fio 80000shinc/30000shinc - BHP,8.0,
2026-01-08,VOYAGE: ORE,170000/10,ore,Saiko,2010,180178.0,22/28 Jan,Seven Islands,Qingdao,$28.80 fio 90000shinc/30000shinc,Glencore,7/1 fixture,'Saiko' 2010 170000/10 Seven Islands/Qingdao 22/28 Jan $28.80 fio 90000shinc/30000shinc - Glencore - <7/1 fixture>,28.8,CAPE/VLOC
2026-01-08,VOYAGE: ORE,160000/10,ore,TBN,1600,,19/21 Jan,Port Hedland,Qingdao,$7.90 fio 80000shinc/30000shinc,BHP,,'TBN' 160000/10 Port Hedland/Qingdao 19/21 Jan $7.90 fio 80000shinc/30000shinc - BHP,7.9,
2026-01-09,VOYAGE: ORE,160000/10,ore,TBN,1600,,23/25 Jan,Port Hedland,Qingdao,$7.85 fio 80000shinc/30000shinc,FMG,,'TBN' 160000/10 Port Hedland/Qingdao 23/25 Jan $7.85 fio 80000shinc/30000shinc - FMG,7.85,
2026-01-09,VOYAGE: ORE,170000/10,ore,Berge Rosa,2006,180230.0,1/7 Feb,Tubarao option West Africa,Qingdao,$20.90 fio 3 days shinc/30000shinc,ECTP,8/1 fixture,'Berge Rosa' 2006 170000/10 Tubarao option West Africa/Qingdao 1/7 Feb $20.90 fio 3 days shinc/30000shinc - ECTP - <8/1 fixture>,20.9,CAPE/VLOC
2026-01-09,VOYAGE: ORE,160000/10,ore,Cape Peregrine,2012,180643.0,25/27 Jan,Port Hedland,Qingdao,$7.95 fio 80000shinc/30000shinc,Panocean,,'Cape Peregrine' 2012 160000/10 Port Hedland/Qingdao 25/27 Jan $7.95 fio 80000shinc/30000shinc - Panocean,7.95,CAPE/VLOC
2026-01-09,VOYAGE: ORE,170000/10,ore,TBN,1700,,25/27 Jan,Dampier,Qingdao,$7.85 fio 90000shinc/30000shinc,Rio Tinto,,'TBN' 170000/10 Dampier/Qingdao 25/27 Jan $7.85 fio 90000shinc/30000shinc - Rio Tinto,7.85,
2026-01-12,VOYAGE: ORE,170000/10,ore,Kline TBN,1700,,1/5 Feb,Saldanha Bay,Qingdao,$14.50 fio 90000shinc/30000shinc,Ore and Metal,9/1 fixture,'Kline TBN' 170000/10 Saldanha Bay/Qingdao 1/5 Feb $14.50 fio 90000shinc/30000shinc - Ore and Metal - <9/1 fixture>,14.50,
2026-01-12,VOYAGE: ORE,160000/10,ore,TBN,1600,,25/27 Jan,Port Hedland,Qingdao,$7.80 fio 80000shinc/30000shinc,FMG,,'TBN' 160000/10 Port Hedland/Qingdao 25/27 Jan $7.80 fio 80000shinc/30000shinc - FMG,7.80,
2026-01-12,VOYAGE: ORE,150000/10,ore,Berge Kosciuszko,2014,181394.0,5 Feb,Port Cartier,Qingdao,$32.20 fio 60000shinc/30000shinc,ArcelorMittal,9/1 fixture,'Berge Kosciuszko' 2014 150000/10 Port Cartier/Qingdao 25 Jan/5 Feb $32.20 fio 60000shinc/30000shinc - ArcelorMittal - <9/1 fixture>,32.20,CAPE/VLOC
2026-01-12,VOYAGE: ORE,170000/10,ore,TBN,1700,,26/28 Jan,Dampier,Qingdao,$7.65 fio 90000shinc/30000shinc,Rio Tinto,,'TBN' 170000/10 Dampier/Qingdao 26/28 Jan $7.65 fio 90000shinc/30000shinc - Rio Tinto,7.65,
